intervenant,parti,intervention
Yaël Braun-Pivet,REN,"
L'ordre du jour appelle la discussion du projet de loi de financement rectificative de la sécurité sociale pour 2023 (n° 760, 814, 771, 819). "
Danièle Obono,LFI,"
Non, pas question ! "
Louis Boyard,LFI,"
Non, ça ne va pas se passer comme ça ! Vous n'avez pas le droit ! "
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion. "
André Chassaigne,GDR,"
Suspension ! La suspension est de droit ! "
Mathilde Panot,LFI,"
Vous n'avez pas le droit de la refuser ! "
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion, s'il vous plaît. "
Yaël Braun-Pivet,REN,"
Non, pas de chahut ! La parole est au Gouvernement ; il n'y a pas de suspension de séance. "
Aurélien Saintoul,LFI,"
C'est inadmissible ! "
Louis Boyard,LFI,"
Il y a des demandes de rappel au règlement ! "
Clémence Guetté,LFI,"
Il y a des demandes de rappel au règlement ! "
Mathilde Panot,LFI,"
Il y a des demandes de rappel au règlement ! "
François Ruffin,LFI,"
Il y a des demandes de rappel au règlement ! "
Ugo Bernalicis,LFI,"
Non ! "
Yaël Braun-Pivet,REN,"
S'il vous plaît ! Tout le monde a pu s'exprimer dans le cadre des rappels au règlement. Laissez parler le ministre. "
Danièle Obono,LFI,"
Qu'il se taise ! "
Philippe Gosselin,LR,"
On suspend ! "
Jérôme Nury,LR,"
On n'entend rien ! "
Yaël Braun-Pivet,REN,"
Vous n'avez pas à faire claquer les pupitres. La parole est au Gouvernement. La parole est à M. le ministre. "
Arthur Delaporte,SOC,"
Non, ce n'est pas possible ! Vous ne pouvez pas ignorer les rappels au règlement. "
Yaël Braun-Pivet,REN,"
Monsieur le ministre, nous allons suspendre la séance pour cinq minutes,… "
Aurore Bergé,REN,"
Mais non ! "
Yaël Braun-Pivet,REN,"
…afin que certains collègues laissent ensuite le Gouvernement s'exprimer. "
Yaël Braun-Pivet,REN,"
La séance est suspendue. "
Yaël Braun-Pivet,REN,"
La séance est reprise. "
Yaël Braun-Pivet,REN,"
Nous sommes convenus avec quelques-uns des présidents de groupe avec lesquels j'ai pu échanger que chacun pourrait s'exprimer au sujet de la réponse que j'ai apportée, et que nous passerions ensuite à la présentation du texte. "
Yaël Braun-Pivet,REN,"
Je suis effectivement quelqu'un de raisonnable ! "
Danièle Obono,LFI,"
Ha ! Ha ! Ha ! Très drôle. "
Yaël Braun-Pivet,REN,"
La parole est à Mme Valérie Rabault, pour un rappel au règlement. "
Valérie Rabault,SOC,"
Avec tout le respect que je vous porte, madame la présidente, l'article 122 de notre règlement ne prévoit pas le cas où plusieurs motions référendaires seraient déposées – vous l'avez d'ailleurs vous-même noté. "
Élodie Jacquier-Laforge,MODEM,"
Mais nous avons voté ! "
Valérie Rabault,SOC,"
En revanche, il est très clair sur un point : les motions peuvent être déposées jusqu'au début de la discussion générale. "
Valérie Rabault,SOC,"
Les trois motions ayant bien respecté ce délai de dépôt, elles doivent toutes trois être prises en considération. "
Valérie Rabault,SOC,"
La question est donc uniquement de savoir comment choisir celle qui sera discutée.Vous avez indiqué, madame la présidente, qu'à l'issue d'un vote, la conférence des présidents avait décidé de procéder à un tirage au sort – je le reconnais. Mais, dans ce cas, les trois motions devraient y être soumises. "
Valérie Rabault,SOC,"
Or le tirage au sort qui a eu lieu lors de la conférence des présidents n'en concernait que deux ; puisqu'il ne respecte pas les dispositions de l'article 122, qui prévoit que les motions référendaires peuvent être déposées jusqu'au début de la discussion générale, il n'a donc tout simplement pas de valeur. "
Valérie Rabault,SOC,"
Par conséquent, si vous souhaitez procéder à un tirage au sort, celui-ci doit avoir lieu maintenant, avant le début de la discussion générale, et concerner les trois motions déposées. "
Yaël Braun-Pivet,REN,"
La parole est à Mme Raquel Garrido, pour un rappel au règlement. "
Raquel Garrido,LFI,"
Le pays tout entier nous regarde. "
Bruno Millienne,MODEM,"
Bravo ! "
Raquel Garrido,LFI,"
Le pays tout entier a dit, sur tous les tons, qu'il refusait la retraite à 64 ans. "
Raquel Garrido,LFI,"
Et pourtant, voilà que nous allons commencer l'examen du projet de loi – non seulement vous nous l'imposez, mais vous avez en outre recours à des articles farfelus de la Constitution pour contraindre notre temps de parole !À l'aube de nos débats, une condition au moins semble un préalable à toute discussion : que nous respections notre propre dignité de députés, c'est-à-dire notre règlement. "
Raquel Garrido,LFI,"
Madame la présidente, mon sang d'avocate n'a fait qu'un tour quand je vous ai écoutée tout à l'heure : vous avez admis que si plusieurs motions référendaires venaient à être déposées, il fallait un mécanisme pour trancher celle qui serait discutée. Nous vous avions pourtant prévenue que la bonne marche à suivre était de n'en enregistrer qu'une.Mais maintenant que trois ont été déposées, si vous décidez seule que nous n'étudierons pas la troisième en refusant de la soumettre au tirage au sort, vous créez un précédent : toute motion référendaire déposée à l'occasion de n'importe lequel de nos débats pourrait être déclarée irrecevable. Or c'est tout à fait contraire aux dispositions de l'article 122 de notre règlement. "
Raquel Garrido,LFI,"
Il existe une solution très simple : des députés de six groupes ont signé la motion référendaire déposée par le groupe LIOT ; le président du groupe Dem soutient notre demande de réunir la conférence des présidents. Ce sont donc des députés de sept groupes qui vous demandent de le faire. "
Raquel Garrido,LFI,"
Nous l'avons souvent dit, en démocratie, la minorité ne peut pas dicter sa loi à la majorité ; mais le fait que sept des dix groupes de la représentation nationale demandent que le règlement de l'Assemblée soit appliqué devrait, me semble-t-il, trouver écho dans votre sagacité et votre sagesse, madame la présidente. Respectons la démocratie, soyons dignes du peuple français qui nous regarde ! "
Yaël Braun-Pivet,REN,"
La parole est à M. Sébastien Jumel, pour un rappel au règlement. "
Sébastien Jumel,GDR,"
Contrairement à tout usage, et devant le silence d'une partie de l'article 122 de notre règlement, qui porte sur les motions référendaires, vous avez décidé unilatéralement , "
Sébastien Jumel,GDR,"
sans que cela fasse consensus à la conférence des présidents, de créer une jurisprudence. En renonçant à la table analytique du règlement, qui ne prévoit le dépôt que d'une motion, vous avez inventé le droit et décidé de considérer que plusieurs motions référendaires pouvaient être recevables. "
André Chassaigne,GDR,"
Très bien ! "
Sébastien Jumel,GDR,"
C'est votre propre logique qui nous conduit aujourd'hui à vous demander de réunir la conférence des présidents. En effet, vous considérez que la motion de notre collègue Charles de Courson est recevable. Or, dans ce cas, vous devez, si l'on suit la décision de la conférence des présidents, l'inclure dans le tirage au sort "
Sébastien Jumel,GDR,"
– sauf si tout cela n'a pour but que de faire du Front national un idiot utile "
Sébastien Jumel,GDR,"
au service de votre mauvaise réforme ! Je ne vois aucune autre explication à votre construction du règlement… "
Laurent Jacobelli,RN,"
Mauvais perdants ! "
Sébastien Jumel,GDR,"
…contre laquelle s'élèvent sept des groupes de l'hémicycle, qui vous demandent de réunir la conférence des présidents : vous ne pouvez pas refuser. Nous vous demandons donc, à nouveau, de réunir la conférence des présidents. "
Yaël Braun-Pivet,REN,"
La parole est à M. Benjamin Lucas, pour un rappel au règlement. "
Benjamin Lucas,ECO,"
Le débat qui nous occupe, et qui pourrait aboutir à priver les Français de deux années de vie en bonne santé ,… "
François Cormier-Bouligeon,REN,"
N'importe quoi ! "
Benjamin Lucas,ECO,"
…mérite d'être démocratique, transparent et apaisé. Alors que la troisième motion référendaire est, nous dit-on, déjà en ligne sur le site de l'Assemblée nationale, votre choix, madame la présidente, entretient la confusion et la tension dans l'assemblée, qui en connaîtra déjà suffisamment vu la nature des débats.Vous avez vous-même, madame la présidente, qualifié la situation d'inédite dans l'histoire de l'Assemblée nationale ; de fait, elle est le fruit de la présence, pour la première fois, de quatre-vingt-neuf députés d'extrême droite , "
Benjamin Lucas,ECO,"
face à laquelle vous nous aviez appelés, en avril dernier, à un barrage républicain. Mais lorsque plusieurs points se suivent, madame la présidente, ils forment une ligne : après avoir décidé de confier deux vice-présidences au Rassemblement national, votre majorité a choisi, grâce à une entourloupe, au mépris du règlement de l'Assemblée, une opposition de confort sur ce texte "
Benjamin Lucas,ECO,"
–… "
Emeric Salmon,RN,"
Honteux ! "
