intervenant,parti,intervention,text_cleaned,emotions
Yaël Braun-Pivet,REN,"
L'ordre du jour appelle la discussion du projet de loi de financement rectificative de la sécurité sociale pour 2023 (n° 760, 814, 771, 819). ",l'ordre du jour appelle la discussion du projet de loi de financement rectificative de la sécurité sociale pour  n°    .,"[{'label': 'joy', 'score': 0.635474443435669}]"
Danièle Obono,LFI,"
Non, pas question ! ",non pas question ,"[{'label': 'anger', 'score': 0.8457685112953186}]"
Louis Boyard,LFI,"
Non, ça ne va pas se passer comme ça ! Vous n'avez pas le droit ! ",non ça ne va pas se passer comme ça  vous n'avez pas le droit ,"[{'label': 'anger', 'score': 0.5996062755584717}]"
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion. ",la parole est à m. le ministre du travail du plein emploi et de l'insertion.,"[{'label': 'joy', 'score': 0.5436665415763855}]"
André Chassaigne,GDR,"
Suspension ! La suspension est de droit ! ",suspension  la suspension est de droit ,"[{'label': 'anger', 'score': 0.7486376166343689}]"
Mathilde Panot,LFI,"
Vous n'avez pas le droit de la refuser ! ",vous n'avez pas le droit de la refuser ,"[{'label': 'anger', 'score': 0.9827337265014648}]"
Yaël Braun-Pivet,REN,"
La parole est à M. le ministre du travail, du plein emploi et de l'insertion, s'il vous plaît. ",la parole est à m. le ministre du travail du plein emploi et de l'insertion s'il vous plaît.,"[{'label': 'joy', 'score': 0.5032527446746826}]"
Yaël Braun-Pivet,REN,"
Non, pas de chahut ! La parole est au Gouvernement ; il n'y a pas de suspension de séance. ",non pas de chahut  la parole est au gouvernement ; il n'y a pas de suspension de séance.,"[{'label': 'anger', 'score': 0.8442186117172241}]"
Aurélien Saintoul,LFI,"
C'est inadmissible ! ",c'est inadmissible ,"[{'label': 'fear', 'score': 0.47682079672813416}]"
Louis Boyard,LFI,"
Il y a des demandes de rappel au règlement ! ",il y a des demandes de rappel au règlement ,"[{'label': 'anger', 'score': 0.5861321091651917}]"
Clémence Guetté,LFI,"
Il y a des demandes de rappel au règlement ! ",il y a des demandes de rappel au règlement ,"[{'label': 'anger', 'score': 0.5861321091651917}]"
Mathilde Panot,LFI,"
Il y a des demandes de rappel au règlement ! ",il y a des demandes de rappel au règlement ,"[{'label': 'anger', 'score': 0.5861321091651917}]"
François Ruffin,LFI,"
Il y a des demandes de rappel au règlement ! ",il y a des demandes de rappel au règlement ,"[{'label': 'anger', 'score': 0.5861321091651917}]"
Ugo Bernalicis,LFI,"
Non ! ",non ,"[{'label': 'anger', 'score': 0.7112295627593994}]"
Yaël Braun-Pivet,REN,"
S'il vous plaît ! Tout le monde a pu s'exprimer dans le cadre des rappels au règlement. Laissez parler le ministre. ",s'il vous plaît  tout le monde a pu s'exprimer dans le cadre des rappels au règlement. laissez parler le ministre.,"[{'label': 'joy', 'score': 0.5409066677093506}]"
Danièle Obono,LFI,"
Qu'il se taise ! ",qu'il se taise ,"[{'label': 'anger', 'score': 0.5521247386932373}]"
Philippe Gosselin,LR,"
On suspend ! ",on suspend ,"[{'label': 'anger', 'score': 0.6129369735717773}]"
Jérôme Nury,LR,"
On n'entend rien ! ",on n'entend rien ,"[{'label': 'anger', 'score': 0.7269113659858704}]"
Yaël Braun-Pivet,REN,"
Vous n'avez pas à faire claquer les pupitres. La parole est au Gouvernement. La parole est à M. le ministre. ",vous n'avez pas à faire claquer les pupitres. la parole est au gouvernement. la parole est à m. le ministre.,"[{'label': 'joy', 'score': 0.5000565648078918}]"
Arthur Delaporte,SOC,"
Non, ce n'est pas possible ! Vous ne pouvez pas ignorer les rappels au règlement. ",non ce n'est pas possible  vous ne pouvez pas ignorer les rappels au règlement.,"[{'label': 'anger', 'score': 0.5915036201477051}]"
Yaël Braun-Pivet,REN,"
Monsieur le ministre, nous allons suspendre la séance pour cinq minutes,… ",monsieur le ministre nous allons suspendre la séance pour cinq minutes…,"[{'label': 'anger', 'score': 0.7697354555130005}]"
Aurore Bergé,REN,"
Mais non ! ",mais non ,"[{'label': 'anger', 'score': 0.682762622833252}]"
Yaël Braun-Pivet,REN,"
…afin que certains collègues laissent ensuite le Gouvernement s'exprimer. ",…afin que certains collègues laissent ensuite le gouvernement s'exprimer.,"[{'label': 'joy', 'score': 0.4966844618320465}]"
Yaël Braun-Pivet,REN,"
La séance est suspendue. ",la séance est suspendue.,"[{'label': 'anger', 'score': 0.7760139107704163}]"
Yaël Braun-Pivet,REN,"
La séance est reprise. ",la séance est reprise.,"[{'label': 'joy', 'score': 0.8854753971099854}]"
